,n_estimators,learning_rate,max_depth,reg_lambda,auc (mean),auc (std),auc (se)
214,390,0.039628573866894334,1,1.8940874088550995e-05,0.844468989617346,0.012301152501892955,0.005501242639164851
215,195,0.9886343345619386,10,83.26075446838755,0.8040169153795356,0.015168626678118587,0.006783616075517996
216,980,0.8187449926232988,4,5.385362580308325,0.7839381757766025,0.015502623386886898,0.006932983944531425
217,283,0.6365023424296673,0,0.28544102814550476,0.7806478643755996,0.02203048863923431,0.00985233403497295
218,330,0.7610847442216859,7,2.1261466160569253,0.7892461585883572,0.012507970042631614,0.005593734255171046
219,365,0.18802992858258616,10,0.00020711402088147043,0.7997948986891965,0.014276354830853865,0.006384579974539351
220,369,0.30765459009285157,2,0.0014242365625587415,0.8209225087657692,0.011047316912096263,0.004940510316886062
221,441,0.24639364428572086,0,0.0005305856621485305,0.7923649822588168,0.01792136920276442,0.00801467995745049
222,101,0.5960491201251504,3,0.1487112557360435,0.8084196867515029,0.012438825417628484,0.0055628118388139
223,387,0.09190485216377231,9,4.3987974553311115e-05,0.8077626324037338,0.012355248987590788,0.005525435323037692
224,308,0.895609985214942,8,18.589593644594355,0.7915674659589411,0.0182567489796971,0.008164666353350529
225,660,0.46227594213072765,3,0.01721597387357733,0.7887752212406773,0.012882031370753003,0.005761019566657702
226,765,0.4448123649543787,7,0.012992315393154074,0.7818615336034256,0.016459487532088025,0.007360906599311814
227,597,0.10471130357324376,1,5.407283314379693e-05,0.8443983852116625,0.012807057896152229,0.005727490409514365
228,261,0.6849040370601138,10,0.6227708256886384,0.7841010074738338,0.015887584062326765,0.00710514359232098
229,355,0.8168939943424481,0,5.227065718459486,0.7873613658876619,0.015256941365352862,0.006823111604331491
230,438,0.6295501714623319,1,0.25518268354450513,0.8414322582272444,0.012785854769222737,0.005718008082884385
231,676,0.24202260746413284,4,0.0004944908413180423,0.794278506111143,0.014422058720878542,0.0064497407350756165
232,561,0.7854207215855097,6,3.147350071946887,0.7835978503556099,0.015683306514193293,0.007013787895540294
233,926,0.14567943338343392,1,0.00010465404854242795,0.8435962174199026,0.012854967468694497,0.0057489162217098586
234,366,0.8272763289795971,0,6.179229178526408,0.7851708145744999,0.015517489702896589,0.006939632363165958
235,536,0.5807053706118858,1,0.11612817320838853,0.8408220578331124,0.012640396492616078,0.005652957164007893
236,606,0.2893728115784362,10,0.0010607417948330343,0.7882399344336187,0.01855725144778921,0.008299055142562612
237,639,0.513243399843739,10,0.03914747891825009,0.7815866468115662,0.01908498782862686,0.008535066026913153
238,256,0.628851403064647,0,0.25232473246557374,0.785419497416129,0.014288199611033187,0.006389877121271252
239,108,0.2585894985926458,1,0.0006458423060125868,0.8447075767561675,0.012599946714605908,0.005634867473346791
240,859,0.846906560459974,8,8.479025145579145,0.7815663178266133,0.018095639061056722,0.008092615807364659
241,581,0.42125370859927336,4,0.0088874252333903,0.785990872593672,0.014061155429220437,0.006288339876385426
242,712,0.8923374572552321,1,17.63446144087027,0.8400988802352215,0.012710143691215446,0.005684149059469567
243,528,0.8354685611475348,6,7.051474310191927,0.782326319189304,0.019141216389879416,0.008560212203960698
244,866,0.09934751415963061,8,4.9594395277268396e-05,0.7983483141945189,0.014376525555380023,0.00642937768441853
245,922,0.6462541094487922,5,0.33402484115694436,0.7777251747912726,0.01475766424767069,0.006599828089381991
246,398,0.3104945664957425,2,0.0014909461760363157,0.8188680627256956,0.011390997032015569,0.005094208739017032
247,448,0.7540531969831749,4,1.8983329188977185,0.7868038780339519,0.014679986461886466,0.006565089527510952
248,619,0.5426316574477315,7,0.06286683580722457,0.7827359190823852,0.015031755350862583,0.006722405357134987
249,853,0.457598874651717,4,0.015965852861144363,0.7842417085519316,0.016026448475083478,0.0071672456456369
250,243,0.895366784537062,1,18.5168663416923,0.8430053518362255,0.013602091978329782,0.006083040459949998
251,740,0.057253559800167664,2,2.516372431738932e-05,0.8355779970020807,0.011176027108917406,0.004998071266783953
252,310,0.5573176258679793,8,0.0796568963446355,0.7814964258853558,0.009966311392109111,0.0044570699515373065
253,331,0.3279110992966764,5,0.001974138849085342,0.7926171422544144,0.012214594387549984,0.005462532673629835
254,788,0.035273336313462744,2,1.7656855147902087e-05,0.8395203378293387,0.012135172088439448,0.005427013941681739
255,548,0.7535185187029176,9,1.882043386412907,0.7830579841220342,0.01841680460482117,0.008236245404942258
256,144,0.5617406560688765,6,0.08554302276014623,0.7914789451202575,0.01638362017014255,0.007326977683595083
257,621,0.8941453369562156,2,18.15588230146421,0.813174995348508,0.01121173676956793,0.005014041112517557
258,914,0.5982612275718309,5,0.1541092095914298,0.7786409421695083,0.01876842025733938,0.00839349270513899
259,540,0.337034279430268,7,0.0022868619893864164,0.7887525124607572,0.016149562933560357,0.0072223041052703755
260,276,0.9852196553795466,7,78.80206307228615,0.8029121320080292,0.01621167993872943,0.0072500836744937265
261,739,0.1157140506093054,5,6.456517823683843e-05,0.8002801770449531,0.01190872830970479,0.005325745205215215
262,527,0.05260174257878858,5,2.3345984779710416e-05,0.8192988498367392,0.010211248196595949,0.004566609020542135
263,617,0.7326219094520809,6,1.3438579540520743,0.7809288374152905,0.01774586120491558,0.007936190394693511
264,244,0.37087489928948425,0,0.003945702118623979,0.7855646108601199,0.01668877713890174,0.007463448028785747
265,111,0.3614650786285366,10,0.0033904359970712305,0.7977181451422701,0.016248729024559733,0.007266652529377882
266,974,0.8765321564895722,6,13.66863339275366,0.7818961298932384,0.017669943981927002,0.007902239180440418
267,260,0.3272936465153866,4,0.0019545893388104654,0.8019550810014728,0.009593219298372643,0.004290218094844813
268,908,0.8889885968841091,6,16.70783501907437,0.7854550796911934,0.01861654585228955,0.008325572406392237
