,ccp_alpha,criterion,min_samples_split,auc (mean),auc (std),auc (se)
550,0.0008844002844313136,gini,23,0.816204392449646,0.012564371313954225,0.00561895767051
551,0.0005865756301763904,entropy,37,0.7779020805271516,0.014261462962783735,0.0063779201286759965
552,0.01142796876586596,gini,28,0.7799645143580417,0.01618661908150109,0.007238876118426329
553,0.05222505962759085,gini,31,0.7247867913353844,0.013577451431626314,0.006072020872463655
554,237.7480972644291,entropy,17,0.5,0.0,0.0
555,0.11344482497416518,entropy,6,0.7247867913353844,0.013577451431626314,0.006072020872463655
556,0.0007361113968567678,gini,23,0.8128172890712214,0.01116579450501135,0.004993495107199799
557,0.008061970971250526,entropy,29,0.8066652390080662,0.01321560333569948,0.005910197484459402
558,0.00011082501447852994,entropy,12,0.7196974597613195,0.014209963997479065,0.006354889091237568
559,0.00015716137517658642,entropy,29,0.7583792646318901,0.008411405204613072,0.003761694764762071
560,0.10410659689253804,entropy,2,0.7247867913353844,0.013577451431626314,0.006072020872463655
561,0.38487338305693686,entropy,23,0.5,0.0,0.0
562,0.0056199322876011645,gini,27,0.7957942176714763,0.01382353105122571,0.0061820710239239626
563,0.04562962681152512,gini,5,0.7247867913353844,0.013577451431626314,0.006072020872463655
564,0.0005291548838822519,entropy,7,0.7083213371794402,0.01531293947040688,0.006848154718233882
565,4.090260163209331,gini,2,0.5,0.0,0.0
566,0.05600657221901448,gini,19,0.7247867913353844,0.013577451431626314,0.006072020872463655
567,0.0013510741860396352,entropy,12,0.8143123735580374,0.014684967887248112,0.006567317288657649
568,0.3032183073097917,entropy,25,0.5,0.0,0.0
569,0.002874907516037015,entropy,4,0.824054944601387,0.00879331691508996,0.003932490873967979
570,0.011089320762179552,entropy,21,0.804106328846063,0.013785589178366356,0.006165102902542528
571,0.000739934079052991,gini,24,0.812869110621649,0.011134728292308904,0.0049796018745185714
572,29.18189148388153,gini,14,0.5,0.0,0.0
