,n_neighbors,weights,p,auc (mean),auc (std),auc (se)
204,143,distance,5,0.8247446052521241,0.013000658539493877,0.0058140712493142885
205,49,uniform,1,0.8304248630102882,0.015386543258592294,0.006881071332990698
206,154,uniform,5,0.827097357690554,0.015181991074117593,0.006789592815104397
207,162,distance,3,0.8243189380578514,0.012409368075837328,0.005549638115077606
208,83,uniform,3,0.8286298457408059,0.015620793116644462,0.006985831054255563
209,65,distance,1,0.8231490354378168,0.014972221926509547,0.006695781200377641
210,59,distance,4,0.8226178203240059,0.012642687003045184,0.005653981511412424
211,11,uniform,2,0.8105269321380092,0.013652019671487308,0.006105368803121993
212,181,uniform,1,0.829808134149026,0.017813529365085908,0.007966452515904152
213,28,distance,4,0.8156887549200992,0.015343328540042271,0.006861745123329424
214,157,uniform,2,0.828456937994958,0.01594041064689219,0.007128768359142467
215,9,distance,3,0.7891956063711026,0.012550650616537632,0.005612821588085558
216,101,distance,1,0.8245182119010058,0.014984753780368428,0.006701385615800151
217,173,uniform,2,0.8281369694023553,0.015862639635300282,0.007093988105422781
218,180,distance,4,0.8237003960974638,0.012237551852044065,0.005472799563869795
219,55,distance,4,0.8223877450877625,0.012683408011747287,0.005672192500126477
220,43,distance,5,0.8200311682713222,0.014853977515754409,0.006642900692296062
221,93,distance,4,0.8229420063784401,0.01312458043086237,0.005869490803914347
222,8,distance,2,0.784446333248602,0.015518870403583768,0.00694024983128458
223,144,distance,5,0.8247484902305569,0.012938116718547938,0.00578610169669994
224,129,distance,4,0.8245178876068533,0.012956630559337115,0.005794381338005782
225,177,uniform,5,0.8261012865633468,0.01467198798147887,0.0065615124983293355
226,193,uniform,1,0.830121346613452,0.01815945662910727,0.008121155891428608
227,45,distance,2,0.820877728329289,0.014755173113264582,0.006598714020207361
228,10,uniform,3,0.8084027808714931,0.013943522330523529,0.00623573275536738
229,47,uniform,3,0.8284180194209613,0.01503222014708595,0.006722613220325214
230,185,distance,1,0.8260249054633408,0.015102187720824951,0.0067539036705454416
231,177,distance,5,0.8237751458996116,0.012139486599324989,0.005428943449607686
232,128,distance,4,0.8243588950282759,0.012917033360633318,0.0057766729324017305
233,172,distance,2,0.8251532322627477,0.013322173937540432,0.005957857306483289
234,6,distance,1,0.7719497923862285,0.012754052583461694,0.005703785713045431
235,150,uniform,5,0.8270836931142197,0.014966564071377928,0.006693250930641412
236,145,distance,2,0.8252013424467635,0.013706821811855356,0.0061298770653570814
237,12,uniform,1,0.8137847715396831,0.014686936080922686,0.006568197491627495
238,107,distance,3,0.8242158534635926,0.012923280655431052,0.005779466807570374
239,161,distance,5,0.8241239258984585,0.01239664615799042,0.005543948700455635
240,41,distance,5,0.8198420540070964,0.015204447902752096,0.00679963581418156
241,37,uniform,5,0.8277906854857731,0.01605463232699407,0.007179849847384874
242,70,distance,5,0.8236331705747935,0.012453925223589981,0.005569564677329292
243,157,distance,4,0.824100077175457,0.012547173457307294,0.005611266555204033
244,108,uniform,2,0.8293432371893983,0.015114108139546506,0.006759234643861772
245,94,distance,3,0.8231771392931829,0.013237701304031532,0.005920079996330423
246,50,distance,1,0.8209998955052177,0.014724006095356141,0.006584775706067516
247,62,distance,3,0.8230104914071876,0.0127527941400099,0.005703222920024622
248,111,uniform,2,0.8291650784988391,0.01524079578210672,0.006815891079996539
249,181,distance,3,0.8240763005178223,0.012509457985613256,0.005594399683501765
250,136,uniform,1,0.8303235260011845,0.017720783821767155,0.007924975448009975
251,93,uniform,3,0.8280199696408262,0.01576971951650109,0.0070524329650003105
252,59,uniform,5,0.828799558042757,0.013714046512136542,0.00613310804954624
253,179,uniform,3,0.8265453386155063,0.014965101547346284,0.006692596870010716
254,177,distance,5,0.8237751458996116,0.012139486599324989,0.005428943449607686
255,79,uniform,1,0.8310113211416204,0.016609450358682554,0.00742797201418449
256,48,uniform,4,0.8280311250321019,0.015369296732408982,0.0068733584520063755
